#	O
#	O
p	O
.	O
(	O
#	O
17	O
)	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O

CONSTITUTION	O

OF	O
THE	O

Society	B-ORG
for	I-ORG
tbe	I-ORG
Diffusion	I-ORG
of	I-ORG
Christian	I-ORG
anO	I-ORG

General	I-ORG
IRnowlehae	I-ORG
among	I-ORG
the	I-ORG
Chinese	I-ORG
.	O

LATE	O

©	O
HOMlEilE	O
[	O
MMM	O
&	O
YGMST	O
§®©	O
0	O
ITY	O
a	O
*	O

—	O
:	O
o	O
^	O
o	O
>	O
-	O
8	O
o	O
:	O
-	O

Article	O
I	O
.	O
—	O
The	O
Society	B-ORG
shall	O
be	O
named	O
in	O
English	O
the	O

“	O
Society	B-ORG
for	I-ORG
the	I-ORG
Diffusion	I-ORG
of	I-ORG
Christian	I-ORG
and	I-ORG
General	I-ORG

Knowledge	I-ORG
among	I-ORG
the	I-ORG
Chinese	I-ORG
;	O
”	O
and	O
in	O
the	O
Chinese	B-LANGUAGE
language	O
:	O

(	O
rJ	O
%	O
w	O
w	O

Article	O
II	O
.	O
Object	O
—	O
The	O
object	O
of	O
the	B-ORG
Society	I-ORG
shall	O
be	O
,	O
—	O
(	O
1	O
)	O

to	O
take	O
over	O
the	O
Printing	B-FAC
Press	I-FAC
and	O
other	O
Property	O
as	O
a	O
free	O
gift	O

generously	O
offered	O
by	O
the	O
original	O
promoters	O
—	O
the	B-ORG
Book	I-ORG
and	I-ORG
Tract	I-ORG

Society	I-ORG
of	I-ORG
China	I-ORG
;	O
and	O
(	O
2	O
)	O
to	O
continue	O
the	O
publication	O
and	O
circula	O
¬	O

tion	O
of	O
literature	O
based	O
on	O
Christian	O
principles	O
throughout	O
China	B-GPE
,	O

her	O
Colonies	B-LOC
,	O
Dependencies	B-LOC
,	O
and	O
wherever	O
Chinamen	B-NORP
are	O
found	O
—	O

especially	O
Periodical	O
literature	O
adapted	O
for	O
all	O
classes	O
as	O
the	O
resources	O

of	O
the	O
Society	B-ORG
may	O
permit	O
.	O

Article	O
III	O
.	O
Mode	O
of	O
Operation	O
.	O
—	O
These	O
objects	O
shall	O
be	O
carried	O

out	O
first	O
,	O
and	O
especially	O
,	O
by	O
the	O
composition	O
and	O
issue	O
of	O
original	O

books	B-PRODUCT
,	O
articles	B-PRODUCT
,	O
and	O
tracts	B-PRODUCT
,	O
written	O
with	O
a	O
Christian	O
aim	O
,	O
but	O
from	O
a	O

Chinese	O
standpoint	O
,	O
with	O
a	O
knowledge	O
of	O
native	O
modes	O
of	O
thought	O
,	O

and	O
adapted	O
to	O
instruct	O
and	O
elevate	O
the	O
people	O
;	O
Second	O
,	O
by	O
a	O

periodical	O
of	O
a	O
comparatively	O
high	O
character	O
adapted	O
to	O
the	O
more	O

intelligent	B-ORG
classes	I-ORG
in	I-ORG
China	I-ORG
;	O
Third	O
,	O
a	O
periodical	O
for	O
the	O
womeD	O
and	O

*	O
Note	O
.	O
—	O
The	O
Society	B-ORG
was	O
first	O
established	O
as	O
Chinese	B-ORG
Book	I-ORG
and	I-ORG
Tract	I-ORG

Society	I-ORG
in	O
Glasgow	B-GPE
in	O
December	B-DATE
1884	I-DATE
.	O

Formed	O
into	O
the	O
Society	B-ORG
for	I-ORG
the	I-ORG
Diffusion	I-ORG
of	I-ORG
Christian	I-ORG
and	I-ORG
General	I-ORG

Knowledge	I-ORG
among	I-ORG
the	I-ORG
Chinese	I-ORG
in	O
1887	B-DATE
;	O
changed	O
into	O
Christian	B-GPE
Literature	I-GPE

Society	I-GPE
in	O
1905	B-DATE
.	O

In	O
1894	B-DATE
the	O
Chinese	B-LANGUAGE
name	O
was	O
changed	O
into	O
]	O
|	O
|	O
^	O
Ed	O
.	O
1910	O
.	O

#	O
#	O
p	O
.	O
(	O
#	O
18	O
)	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O
#	O

4	O

children	O
;	O
Fourth	O
,	O
one	O
for	O
the	O
School	O
boys	O
;	O
Fifth	O
,	O
by	O
reprinting	O
such	O

works	B-PRODUCT
,	O
large	O
or	O
small	O
,	O
as	O
may	O
commend	O
themselves	O
to	O
the	O
Board	B-ORG
;	O

and	O
Sixth	O
,	O
by	O
the	O
establishment	O
of	O
a	O
Central	O
Dep	O
6	O
t	O
at	O
Shanghai	B-GPE
,	O

with	O
agencies	O
,	O
as	O
far	O
as	O
possible	O
,	O
in	O
the	O
Capital	B-GPE
and	O
chief	O
cities	B-LOC
of	O
the	O

18	B-LOC
Provinces	I-LOC
,	O
and	O
also	O
at	O
the	O
other	O
emporiums	B-LOC
of	I-LOC
commerce	I-LOC
in	O
the	O

East	B-LOC
,	O
as	O
Hongkong	B-GPE
,	O
Yokohama	B-GPE
,	O
Singapore	B-GPE
,	O
Penang	B-GPE
,	O
and	O
Batavia	B-GPE
.	O

Article	O
IY	O
.	O
Membership	O
.	O
—	O
All	O
subscriptions	O
shall	O
be	O
purely	O

voluntary	O
,	O
and	O
all	O
persons	O
may	O
become	O
members	B-ORG
on	O
being	O
proposed	O
,	O

seconded	O
,	O
and	O
carried	O
by	O
a	O
majority	O
at	O
one	O
or	O
other	O
of	O
the	O
stated	O

Meetings	O
of	O
the	O
Society	B-ORG
.	O

Article	O
V	O
.	O
The	O
Society	B-ORG
shall	O
be	O
managed	O
by	O
a	O
Board	B-ORG
of	I-ORG

